Generation,id,Figure,Pattern,Body-colour,Eye-colour,Nose-colour,Whisker-type,Eye-type,Ear-type,Mouth-type
1,31,Medium,Solid,#ECDB60,#D9C359,#C87978,Long,Staring,Fold,Sticking-out
1,32,Medium,Solid,#ECDB60,#3F8EBF,#34252B,Short,Drooping,Straight,Sticking-out
1,33,Medium,Solid,#A9B9D9,#BF3BB6,#34252B,Long,Drooping,Straight,Open
1,34,Medium,Solid,#A9B9D9,#3F8EBF,#34252B,Short,Slanted,Fold,Sticking-out
1,35,Medium,Solid,#F2C46D,#BF3BB6,#C87978,Long,Slanted,Fold,Close
1,36,Medium,Solid,#F2C46D,#D97789,#34252B,Long,Drooping,Fold,Close
1,37,Medium,Solid,#A1CD73,#D9B60B,#C87978,Long,Staring,Straight,Sticking-out
1,38,Medium,Solid,#A1CD73,#6C733C,#C87978,Short,Slanted,Straight,Close
1,39,Medium,Solid,#427676,#BF3BB6,#C87978,Short,Staring,Straight,Sticking-out
1,40,Medium,Solid,#427676,#D9B60B,#34252B,Long,Round,Straight,Close
1,41,Medium,Solid,#A68A7B,#D9863D,#C87978,Short,Drooping,Fold,Close
1,42,Medium,Solid,#A68A7B,#D97789,#C87978,Short,Staring,Straight,Sticking-out
1,43,Medium,Solid,#BDE3F2,#B0BF3B,#34252B,Long,Staring,Fold,Open
1,44,Medium,Solid,#BDE3F2,#6C733C,#34252B,Short,Open,Straight,Open
1,45,Medium,Solid,#F2AB27,#4E5FBF,#C87978,Long,Open,Straight,Sticking-out
1,46,Medium,Solid,#F2AB27,#4E5FBF,#C87978,Long,Staring,Straight,Sticking-out
1,47,Medium,Solid,#BFAE99,#BF3BB6,#34252B,Long,Drooping,Fold,Close
1,48,Medium,Solid,#BFAE99,#4E5FBF,#34252B,Long,Slanted,Straight,Open
1,49,Medium,Solid,#F2AA6B,#F2CB05,#34252B,Short,Drooping,Straight,Close
1,50,Medium,Solid,#F2AA6B,#41D2F2,#34252B,Short,Drooping,Fold,Sticking-out
1,51,Medium,Solid,#3B596A,#41D2F2,#C0AC49,Short,Drooping,Fold,Sticking-out
1,52,Medium,Solid,#3B596A,#B0BF3B,#C0AC49,Short,Drooping,Fold,Close
1,53,Medium,Solid,#F2DF80,#D97789,#34252B,Short,Round,Straight,Close
1,54,Medium,Solid,#F2DF80,#41D2F2,#34252B,Short,Staring,Straight,Close
1,55,Medium,Solid,#F2507B,#F2CB05,#34252B,Long,Slanted,Straight,Open
1,56,Medium,Solid,#F2507B,#41D2F2,#34252B,Short,Drooping,Straight,Close
1,57,Medium,Solid,#F2C094,#4E5FBF,#34252B,Long,Open,Straight,Close
1,58,Medium,Solid,#F2C094,#F2CB05,#34252B,Short,Drooping,Fold,Sticking-out
1,59,Medium,Solid,#3F9A82,#A3A656,#C87978,Short,Round,Straight,Close
1,60,Medium,Solid,#3F9A82,#BF3BB6,#C87978,Short,Staring,Fold,Sticking-out
1,61,Medium,Solid,#B3D5F2,#3F8EBF,#34252B,Long,Open,Straight,Sticking-out
1,62,Medium,Solid,#B3D5F2,#41D2F2,#34252B,Short,Round,Fold,Open
1,63,Medium,Solid,#A65132,#F2CB05,#C87978,Long,Drooping,Straight,Close
1,64,Medium,Solid,#A65132,#41D2F2,#34252B,Short,Open,Straight,Open
1,65,Medium,Solid,#D96277,#4E5FBF,#34252B,Long,Staring,Fold,Open
1,66,Medium,Solid,#D96277,#D97789,#34252B,Short,Drooping,Straight,Open
1,67,Medium,Solid,#A68549,#6C733C,#34252B,Long,Round,Straight,Open
1,68,Medium,Solid,#A68549,#62D9D9,#34252B,Long,Drooping,Fold,Sticking-out
1,69,Medium,Solid,#F26B5E,#4E5FBF,#34252B,Long,Staring,Fold,Close
1,70,Medium,Solid,#F26B5E,#4E5FBF,#34252B,Short,Drooping,Straight,Open
1,71,Medium,Hachiware,#ECDB60,#4E5FBF,#34252B,Long,Drooping,Fold,Sticking-out
1,72,Medium,Hachiware,#ECDB60,#F2E205,#34252B,Short,Staring,Fold,Sticking-out
1,73,Medium,Hachiware,#A9B9D9,#3F8EBF,#C87978,Long,Round,Fold,Close
1,74,Medium,Hachiware,#A9B9D9,#4E5FBF,#C87978,Short,Open,Straight,Sticking-out
1,75,Medium,Hachiware,#A9B9D9,#F2D4AE,#C87978,Short,Drooping,Straight,Open
1,76,Medium,Hachiware,#A9B9D9,#B0BF3B,#34252B,Short,Slanted,Straight,Close
1,77,Medium,Hachiware,#F2C46D,#4E5FBF,#C87978,Long,Staring,Straight,Close
1,78,Medium,Hachiware,#F2C46D,#A3A656,#C87978,Short,Drooping,Straight,Close
1,79,Medium,Hachiware,#F2C46D,#72A603,#34252B,Long,Open,Straight,Sticking-out
1,80,Medium,Hachiware,#F2C46D,#5CACF2,#34252B,Short,Drooping,Fold,Open
1,81,Medium,Hachiware,#A1CD73,#BF3BB6,#C87978,Long,Open,Fold,Open
1,82,Medium,Hachiware,#A1CD73,#62D9D9,#C87978,Short,Staring,Straight,Open
1,83,Medium,Hachiware,#A1CD73,#D9C359,#C0AC49,Long,Round,Fold,Open
1,84,Medium,Hachiware,#A1CD73,#F2D4AE,#C0AC49,Long,Staring,Straight,Close
1,85,Medium,Hachiware,#427676,#89A621,#C87978,Long,Round,Straight,Open
1,86,Medium,Hachiware,#427676,#41D2F2,#C87978,Short,Staring,Fold,Sticking-out
1,87,Medium,Hachiware,#427676,#D97789,#34252B,Long,Drooping,Straight,Close
1,88,Medium,Hachiware,#427676,#A3A656,#34252B,Long,Staring,Fold,Close
1,89,Medium,Hachiware,#A68A7B,#62D9D9,#C87978,Long,Slanted,Straight,Open
1,90,Medium,Hachiware,#A68A7B,#72A603,#34252B,Long,Staring,Straight,Close
1,91,Medium,Hachiware,#A68A7B,#A3A656,#34252B,Short,Drooping,Fold,Open
1,92,Medium,Hachiware,#A68A7B,#4E5FBF,#34252B,Short,Drooping,Straight,Open
1,93,Medium,Hachiware,#A68A7B,#D9C359,#34252B,Short,Staring,Straight,Sticking-out
1,94,Medium,Hachiware,#F2AB27,#72A603,#C87978,Long,Staring,Straight,Sticking-out
1,95,Medium,Hachiware,#F2AB27,#62D9D9,#C87978,Short,Round,Straight,Close
1,96,Medium,Hachiware,#F2AB27,#41D2F2,#C87978,Short,Drooping,Straight,Close
1,97,Medium,Hachiware,#F2AB27,#5CACF2,#34252B,Short,Open,Fold,Sticking-out
1,98,Medium,Hachiware,#BFAE99,#72A603,#C87978,Short,Open,Straight,Sticking-out
1,99,Medium,Hachiware,#BFAE99,#6C733C,#C87978,Short,Open,Straight,Close
1,100,Medium,Hachiware,#BFAE99,#D97789,#34252B,Short,Slanted,Straight,Close
1,101,Medium,Hachiware,#F2AA6B,#BF3BB6,#C87978,Long,Drooping,Fold,Open
1,102,Medium,Hachiware,#F2AA6B,#F2E205,#C87978,Short,Drooping,Fold,Sticking-out
1,103,Medium,Hachiware,#F2AA6B,#62D9D9,#34252B,Short,Round,Straight,Close
1,104,Medium,Hachiware,#F2AA6B,#62D9D9,#34252B,Short,Slanted,Straight,Close
1,105,Medium,Hachiware,#3B596A,#F2E205,#C0AC49,Long,Slanted,Fold,Open
1,106,Medium,Hachiware,#3B596A,#62D9D9,#C0AC49,Short,Open,Straight,Open
1,107,Medium,Hachiware,#3B596A,#F2D4AE,#C87978,Short,Open,Fold,Close
1,108,Medium,Hachiware,#3B596A,#D97789,#C87978,Short,Slanted,Straight,Close
1,109,Medium,Hachiware,#F2DF80,#89A621,#C87978,Long,Slanted,Fold,Sticking-out
1,110,Medium,Hachiware,#F2DF80,#F2D4AE,#34252B,Long,Open,Fold,Open
1,111,Medium,Hachiware,#F2DF80,#D9B60B,#34252B,Short,Drooping,Straight,Close
1,112,Medium,Hachiware,#F2507B,#D9B60B,#C87978,Long,Open,Fold,Close
1,113,Medium,Hachiware,#F2507B,#5CACF2,#C87978,Long,Round,Straight,Sticking-out
1,114,Medium,Hachiware,#F2507B,#F2D4AE,#34252B,Long,Open,Straight,Close
1,115,Medium,Hachiware,#F2507B,#3F8EBF,#34252B,Long,Staring,Fold,Sticking-out
1,116,Medium,Hachiware,#F2C094,#D9AD2B,#C87978,Long,Drooping,Fold,Close
1,117,Medium,Hachiware,#F2C094,#B0BF3B,#C87978,Long,Drooping,Straight,Close
1,118,Medium,Hachiware,#F2C094,#D9C359,#C87978,Long,Slanted,Fold,Open
1,119,Medium,Hachiware,#F2C094,#BF3BB6,#C87978,Short,Staring,Straight,Close
1,120,Medium,Hachiware,#3F9A82,#A3A656,#C87978,Short,Drooping,Fold,Sticking-out
1,121,Medium,Hachiware,#3F9A82,#4E5FBF,#C87978,Short,Drooping,Straight,Sticking-out
1,122,Medium,Hachiware,#3F9A82,#F2E205,#34252B,Long,Drooping,Straight,Sticking-out
1,123,Medium,Hachiware,#B3D5F2,#BF3BB6,#34252B,Long,Staring,Straight,Close
1,124,Medium,Hachiware,#A65132,#D97789,#C87978,Short,Staring,Straight,Close
1,125,Medium,Hachiware,#A65132,#3F8EBF,#34252B,Long,Round,Fold,Close
1,126,Medium,Hachiware,#A65132,#41D2F2,#34252B,Short,Open,Fold,Open
1,127,Medium,Hachiware,#D96277,#72A603,#34252B,Long,Drooping,Fold,Close
1,128,Medium,Hachiware,#D96277,#6C733C,#34252B,Long,Slanted,Straight,Sticking-out
1,129,Medium,Hachiware,#D96277,#41D2F2,#34252B,Short,Drooping,Fold,Open
1,130,Medium,Hachiware,#A68549,#89A621,#C0AC49,Long,Drooping,Fold,Open
1,131,Medium,Hachiware,#A68549,#4E5FBF,#34252B,Long,Open,Fold,Sticking-out
1,132,Medium,Hachiware,#A68549,#B0BF3B,#34252B,Long,Round,Straight,Sticking-out
1,133,Medium,Hachiware,#A68549,#72A603,#34252B,Short,Staring,Straight,Sticking-out
1,134,Medium,Hachiware,#F26B5E,#F2CB05,#C0AC49,Short,Drooping,Straight,Sticking-out
1,135,Medium,Hachiware,#F26B5E,#F2CB05,#34252B,Long,Drooping,Fold,Open
1,136,Medium,Hachiware-Tora,#ECDB60,#62D9D9,#C87978,Long,Slanted,Straight,Sticking-out
1,137,Medium,Hachiware-Tora,#ECDB60,#B0BF3B,#C87978,Short,Open,Fold,Open
1,138,Medium,Hachiware-Tora,#ECDB60,#89A621,#C87978,Short,Drooping,Straight,Sticking-out
1,139,Medium,Hachiware-Tora,#ECDB60,#6C733C,#34252B,Long,Round,Fold,Close
1,140,Medium,Hachiware-Tora,#A9B9D9,#A3A656,#C87978,Long,Open,Fold,Close
1,141,Medium,Hachiware-Tora,#A9B9D9,#62D9D9,#C87978,Short,Open,Straight,Sticking-out
1,142,Medium,Hachiware-Tora,#A9B9D9,#72A603,#34252B,Short,Drooping,Straight,Open
1,143,Medium,Hachiware-Tora,#A9B9D9,#D9C359,#34252B,Short,Staring,Fold,Sticking-out
1,144,Medium,Hachiware-Tora,#F2C46D,#A3A656,#C87978,Short,Open,Straight,Sticking-out
1,145,Medium,Hachiware-Tora,#F2C46D,#41D2F2,#C87978,Short,Staring,Straight,Close
1,146,Medium,Hachiware-Tora,#F2C46D,#41D2F2,#34252B,Long,Staring,Fold,Open
1,147,Medium,Hachiware-Tora,#A1CD73,#BF3BB6,#C87978,Short,Open,Straight,Sticking-out
1,148,Medium,Hachiware-Tora,#A1CD73,#B0BF3B,#C87978,Short,Round,Straight,Sticking-out
1,149,Medium,Hachiware-Tora,#A1CD73,#62D9D9,#C87978,Short,Staring,Straight,Sticking-out
1,150,Medium,Hachiware-Tora,#A1CD73,#3F8EBF,#C0AC49,Long,Round,Fold,Close
1,151,Medium,Hachiware-Tora,#427676,#6C733C,#C87978,Long,Slanted,Straight,Open
1,152,Medium,Hachiware-Tora,#427676,#D9863D,#C87978,Short,Open,Fold,Sticking-out
1,153,Medium,Hachiware-Tora,#427676,#62D9D9,#C0AC49,Long,Round,Straight,Close
1,154,Medium,Hachiware-Tora,#427676,#41D2F2,#34252B,Short,Staring,Fold,Open
1,155,Medium,Hachiware-Tora,#A68A7B,#B0BF3B,#C87978,Long,Slanted,Fold,Open
1,156,Medium,Hachiware-Tora,#A68A7B,#D9AD2B,#C87978,Short,Drooping,Fold,Close
1,157,Medium,Hachiware-Tora,#A68A7B,#F2D4AE,#C87978,Short,Slanted,Straight,Close
1,158,Medium,Hachiware-Tora,#A68A7B,#41D2F2,#34252B,Long,Staring,Straight,Sticking-out
1,159,Medium,Hachiware-Tora,#BDE3F2,#F2CB05,#34252B,Long,Slanted,Fold,Sticking-out
1,160,Medium,Hachiware-Tora,#BDE3F2,#89A621,#34252B,Long,Slanted,Straight,Open
1,161,Medium,Hachiware-Tora,#F2AB27,#89A621,#C87978,Long,Slanted,Fold,Open
1,162,Medium,Hachiware-Tora,#F2AB27,#5CACF2,#C87978,Long,Staring,Straight,Close
1,163,Medium,Hachiware-Tora,#F2AB27,#A3A656,#34252B,Long,Round,Straight,Close
1,164,Medium,Hachiware-Tora,#F2AB27,#A3A656,#34252B,Long,Drooping,Fold,Close
1,165,Medium,Hachiware-Tora,#F2AB27,#D9B60B,#34252B,Long,Staring,Straight,Close
1,166,Medium,Hachiware-Tora,#BFAE99,#5CACF2,#C87978,Long,Open,Straight,Sticking-out
1,167,Medium,Hachiware-Tora,#BFAE99,#D9C359,#C87978,Short,Drooping,Straight,Open
1,168,Medium,Hachiware-Tora,#BFAE99,#3F8EBF,#C87978,Short,Slanted,Fold,Sticking-out
1,169,Medium,Hachiware-Tora,#BFAE99,#D9B60B,#34252B,Short,Staring,Straight,Close
1,170,Medium,Hachiware-Tora,#F2AA6B,#5CACF2,#C87978,Long,Round,Fold,Open
1,171,Medium,Hachiware-Tora,#F2AA6B,#5CACF2,#C87978,Short,Drooping,Fold,Open
1,172,Medium,Hachiware-Tora,#F2AA6B,#D9863D,#C87978,Short,Drooping,Straight,Open
1,173,Medium,Hachiware-Tora,#F2AA6B,#4E5FBF,#C87978,Short,Staring,Straight,Open
1,174,Medium,Hachiware-Tora,#3B596A,#62D9D9,#C0AC49,Long,Slanted,Straight,Close
1,175,Medium,Hachiware-Tora,#3B596A,#D9B60B,#C87978,Long,Open,Straight,Sticking-out
1,176,Medium,Hachiware-Tora,#3B596A,#D9B60B,#C87978,Short,Slanted,Straight,Open
1,177,Medium,Hachiware-Tora,#3B596A,#4E5FBF,#C87978,Short,Slanted,Straight,Open
1,178,Medium,Hachiware-Tora,#F2DF80,#B0BF3B,#C87978,Short,Round,Fold,Sticking-out
1,179,Medium,Hachiware-Tora,#F2DF80,#62D9D9,#34252B,Short,Open,Straight,Close
1,180,Medium,Hachiware-Tora,#F2DF80,#D9B60B,#34252B,Short,Staring,Straight,Close
1,181,Medium,Hachiware-Tora,#F2507B,#72A603,#C87978,Long,Drooping,Fold,Open
1,182,Medium,Hachiware-Tora,#F2507B,#D97789,#34252B,Long,Round,Fold,Sticking-out
1,183,Medium,Hachiware-Tora,#F2507B,#89A621,#34252B,Long,Drooping,Straight,Close
1,184,Medium,Hachiware-Tora,#F2507B,#F2D4AE,#34252B,Short,Staring,Straight,Open
1,185,Medium,Hachiware-Tora,#F2C094,#5CACF2,#C87978,Long,Slanted,Fold,Close
1,186,Medium,Hachiware-Tora,#F2C094,#62D9D9,#34252B,Short,Open,Straight,Open
1,187,Medium,Hachiware-Tora,#F2C094,#BF3BB6,#34252B,Short,Drooping,Fold,Sticking-out
1,188,Medium,Hachiware-Tora,#F2C094,#A3A656,#34252B,Short,Staring,Straight,Close
1,189,Medium,Hachiware-Tora,#3F9A82,#62D9D9,#C87978,Long,Round,Straight,Close
1,190,Medium,Hachiware-Tora,#3F9A82,#89A621,#C87978,Long,Slanted,Straight,Close
1,191,Medium,Hachiware-Tora,#3F9A82,#D9B60B,#C87978,Short,Round,Fold,Close
1,192,Medium,Hachiware-Tora,#3F9A82,#F2E205,#34252B,Long,Drooping,Fold,Open
1,193,Medium,Hachiware-Tora,#B3D5F2,#41D2F2,#34252B,Long,Staring,Fold,Close
1,194,Medium,Hachiware-Tora,#B3D5F2,#D9AD2B,#34252B,Short,Open,Straight,Open
1,195,Medium,Hachiware-Tora,#B3D5F2,#D97789,#34252B,Short,Drooping,Fold,Close
1,196,Medium,Hachiware-Tora,#B3D5F2,#4E5FBF,#34252B,Short,Drooping,Straight,Sticking-out
1,197,Medium,Hachiware-Tora,#A65132,#4E5FBF,#C87978,Long,Open,Fold,Open
1,198,Medium,Hachiware-Tora,#A65132,#F2CB05,#C87978,Long,Staring,Straight,Sticking-out
1,199,Medium,Hachiware-Tora,#A65132,#D9863D,#34252B,Long,Drooping,Fold,Close
1,200,Medium,Hachiware-Tora,#A65132,#A3A656,#34252B,Long,Slanted,Straight,Close
1,201,Medium,Hachiware-Tora,#D96277,#89A621,#34252B,Long,Open,Fold,Close
1,202,Medium,Hachiware-Tora,#D96277,#3F8EBF,#34252B,Short,Slanted,Straight,Sticking-out
1,203,Medium,Hachiware-Tora,#D96277,#F2D4AE,#34252B,Short,Staring,Fold,Sticking-out
1,204,Medium,Hachiware-Tora,#A68549,#F2E205,#C87978,Long,Slanted,Straight,Open
1,205,Medium,Hachiware-Tora,#A68549,#5CACF2,#C87978,Short,Staring,Fold,Sticking-out
1,206,Medium,Hachiware-Tora,#A68549,#D97789,#34252B,Long,Drooping,Fold,Open
1,207,Medium,Hachiware-Tora,#A68549,#4E5FBF,#34252B,Short,Open,Straight,Sticking-out
1,208,Medium,Hachiware-Tora,#F26B5E,#72A603,#C0AC49,Long,Slanted,Straight,Close
1,209,Medium,Hachiware-Tora,#F26B5E,#89A621,#34252B,Short,Drooping,Fold,Sticking-out
1,210,Medium,Hachiware-Tora,#F26B5E,#B0BF3B,#34252B,Short,Staring,Straight,Open
1,211,Mochimochi,Solid,#ECDB60,#BF3BB6,#34252B,Short,Drooping,Fold,Close
1,212,Mochimochi,Solid,#ECDB60,#5CACF2,#34252B,Short,Staring,Straight,Open
1,213,Mochimochi,Solid,#A9B9D9,#4E5FBF,#34252B,Short,Open,Fold,Sticking-out
1,214,Mochimochi,Solid,#A9B9D9,#B0BF3B,#34252B,Short,Drooping,Straight,Close
1,215,Mochimochi,Solid,#F2C46D,#72A603,#34252B,Long,Slanted,Fold,Open
1,216,Mochimochi,Solid,#F2C46D,#5CACF2,#34252B,Short,Round,Fold,Close
1,217,Mochimochi,Solid,#A1CD73,#A3A656,#C0AC49,Long,Slanted,Straight,Close
1,218,Mochimochi,Solid,#A1CD73,#41D2F2,#C0AC49,Long,Staring,Fold,Close
1,219,Mochimochi,Solid,#427676,#89A621,#C87978,Short,Drooping,Straight,Sticking-out
1,220,Mochimochi,Solid,#427676,#89A621,#C87978,Short,Slanted,Straight,Close
1,221,Mochimochi,Solid,#A68A7B,#D9AD2B,#C87978,Long,Round,Fold,Close
1,222,Mochimochi,Solid,#A68A7B,#5CACF2,#34252B,Long,Staring,Fold,Close
1,223,Mochimochi,Solid,#BDE3F2,#D9AD2B,#34252B,Short,Open,Straight,Close
1,224,Mochimochi,Solid,#BDE3F2,#41D2F2,#34252B,Short,Staring,Fold,Open
1,225,Mochimochi,Solid,#F2AB27,#A3A656,#34252B,Short,Drooping,Fold,Close
1,226,Mochimochi,Solid,#F2AB27,#D9AD2B,#34252B,Short,Slanted,Straight,Open
1,227,Mochimochi,Solid,#BFAE99,#5CACF2,#C87978,Long,Drooping,Straight,Open
1,228,Mochimochi,Solid,#BFAE99,#A3A656,#34252B,Short,Staring,Straight,Sticking-out
1,229,Mochimochi,Solid,#F2AA6B,#4E5FBF,#34252B,Long,Round,Straight,Open
1,230,Mochimochi,Solid,#F2AA6B,#BF3BB6,#34252B,Short,Open,Fold,Close
1,231,Mochimochi,Solid,#3B596A,#D9B60B,#C87978,Long,Round,Fold,Close
1,232,Mochimochi,Solid,#3B596A,#5CACF2,#C87978,Long,Drooping,Straight,Sticking-out
1,233,Mochimochi,Solid,#F2DF80,#3F8EBF,#C87978,Short,Staring,Fold,Close
1,234,Mochimochi,Solid,#F2DF80,#72A603,#34252B,Long,Staring,Straight,Close
1,235,Mochimochi,Solid,#F2507B,#F2E205,#34252B,Long,Drooping,Fold,Close
1,236,Mochimochi,Solid,#F2507B,#89A621,#34252B,Long,Drooping,Straight,Close
1,237,Mochimochi,Solid,#F2C094,#41D2F2,#C87978,Long,Open,Straight,Close
1,238,Mochimochi,Solid,#F2C094,#D9863D,#34252B,Short,Round,Fold,Sticking-out
1,239,Mochimochi,Solid,#3F9A82,#D9AD2B,#34252B,Long,Round,Straight,Open
1,240,Mochimochi,Solid,#3F9A82,#F2E205,#34252B,Short,Slanted,Fold,Open
1,241,Mochimochi,Solid,#B3D5F2,#5CACF2,#34252B,Long,Staring,Straight,Open
1,242,Mochimochi,Solid,#B3D5F2,#4E5FBF,#34252B,Short,Slanted,Fold,Close
1,243,Mochimochi,Solid,#A65132,#62D9D9,#C87978,Short,Slanted,Straight,Close
1,244,Mochimochi,Solid,#A65132,#4E5FBF,#34252B,Short,Staring,Straight,Open
1,245,Mochimochi,Solid,#D96277,#4E5FBF,#34252B,Long,Slanted,Fold,Open
1,246,Mochimochi,Solid,#D96277,#4E5FBF,#34252B,Short,Drooping,Straight,Sticking-out
1,247,Mochimochi,Solid,#A68549,#D9AD2B,#34252B,Long,Open,Straight,Sticking-out
1,248,Mochimochi,Solid,#A68549,#D9B60B,#34252B,Long,Slanted,Fold,Sticking-out
1,249,Mochimochi,Solid,#F26B5E,#A3A656,#34252B,Long,Drooping,Fold,Sticking-out
1,250,Mochimochi,Solid,#F26B5E,#F2E205,#34252B,Short,Open,Straight,Close
1,251,Mochimochi,Hachiware,#ECDB60,#72A603,#C87978,Long,Drooping,Straight,Open
1,252,Mochimochi,Hachiware,#ECDB60,#D9B60B,#C87978,Long,Staring,Fold,Close
1,253,Mochimochi,Hachiware,#ECDB60,#5CACF2,#C87978,Short,Round,Fold,Close
1,254,Mochimochi,Hachiware,#A9B9D9,#5CACF2,#34252B,Long,Drooping,Straight,Sticking-out
1,255,Mochimochi,Hachiware,#A9B9D9,#F2CB05,#34252B,Short,Open,Fold,Open
1,256,Mochimochi,Hachiware,#A9B9D9,#BF3BB6,#34252B,Short,Staring,Straight,Close
1,257,Mochimochi,Hachiware,#F2C46D,#D97789,#34252B,Long,Drooping,Fold,Close
1,258,Mochimochi,Hachiware,#F2C46D,#D9C359,#34252B,Short,Drooping,Straight,Close
1,259,Mochimochi,Hachiware,#F2C46D,#F2D4AE,#34252B,Short,Staring,Fold,Close
1,260,Mochimochi,Hachiware,#A1CD73,#F2D4AE,#C87978,Long,Staring,Straight,Open
1,261,Mochimochi,Hachiware,#A1CD73,#D9C359,#C87978,Short,Round,Fold,Close
1,262,Mochimochi,Hachiware,#A1CD73,#D97789,#C87978,Short,Drooping,Straight,Sticking-out
1,263,Mochimochi,Hachiware,#427676,#D9C359,#C87978,Long,Drooping,Fold,Close
1,264,Mochimochi,Hachiware,#427676,#3F8EBF,#34252B,Long,Slanted,Straight,Sticking-out
1,265,Mochimochi,Hachiware,#A68A7B,#D9AD2B,#C87978,Long,Round,Fold,Open
1,266,Mochimochi,Hachiware,#A68A7B,#4E5FBF,#C87978,Long,Staring,Straight,Sticking-out
1,267,Mochimochi,Hachiware,#A68A7B,#D9863D,#C87978,Short,Drooping,Fold,Sticking-out
1,268,Mochimochi,Hachiware,#A68A7B,#41D2F2,#34252B,Long,Slanted,Straight,Close
1,269,Mochimochi,Hachiware,#BDE3F2,#D9C359,#34252B,Long,Round,Fold,Close
1,270,Mochimochi,Hachiware,#BDE3F2,#41D2F2,#34252B,Long,Drooping,Fold,Open
1,271,Mochimochi,Hachiware,#BDE3F2,#41D2F2,#34252B,Short,Open,Straight,Close
1,272,Mochimochi,Hachiware,#F2AB27,#D9AD2B,#C0AC49,Long,Drooping,Straight,Close
1,273,Mochimochi,Hachiware,#F2AB27,#72A603,#C0AC49,Short,Staring,Straight,Close
1,274,Mochimochi,Hachiware,#F2AB27,#3F8EBF,#34252B,Long,Slanted,Straight,Open
1,275,Mochimochi,Hachiware,#BFAE99,#D9863D,#C87978,Long,Drooping,Straight,Sticking-out
1,276,Mochimochi,Hachiware,#BFAE99,#D97789,#C87978,Long,Slanted,Straight,Close
1,277,Mochimochi,Hachiware,#BFAE99,#D97789,#34252B,Long,Drooping,Fold,Open
1,278,Mochimochi,Hachiware,#F2AA6B,#89A621,#34252B,Long,Drooping,Fold,Close
1,279,Mochimochi,Hachiware,#F2AA6B,#72A603,#34252B,Long,Staring,Fold,Sticking-out
1,280,Mochimochi,Hachiware,#F2AA6B,#A3A656,#34252B,Short,Round,Straight,Open
1,281,Mochimochi,Hachiware,#3B596A,#D9AD2B,#C0AC49,Long,Drooping,Straight,Open
1,282,Mochimochi,Hachiware,#3B596A,#72A603,#C0AC49,Long,Drooping,Fold,Open
1,283,Mochimochi,Hachiware,#3B596A,#72A603,#C87978,Short,Slanted,Straight,Close
